Name,Description,Latitude,Longitude ,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
"Cancun, Mexico",Beautiful beaches with great nightlife!,21.1691626,-86.84711095,https://www.britannica.com/place/Cancun,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_650,q_75,w_1200/v1/clients/quintanaroo/atardecer_en_canc_n_t20_4eyeZA_51e7530b-ecbb-4a93-a51b-b238cb5d898e.jpg"
"Palawan, Philippines","Home to crystal clear waters, and famous for scuba diving and beautiful wildlife!",9.45254,118.39188,https://www.britannica.com/place/Palawan-island-Philippines,https://philippinetourismusa.com/wp-content/uploads/2019/05/palawan-slider-min.jpg
"Venice, Italy",A romantic city with lovely night lights and famous gondola rides!,45.44256,12.33021,https://www.britannica.com/place/Venice,https://cdn.travelpulse.com/images/eea9edf4-a957-df11-b491-006073e71405/1722a4c2-f6c5-41e5-ad1f-b6872e4f96c0/630x355.jpg
"Santorini, Greece","Beautiful landscapes on every corner with gorgeous ocean views, also rich with culture!",36.41888,25.43219,https://www.britannica.com/place/Thera,https://www.savoredjourneys.com/wp-content/uploads/2018/03/8-things-to-do-in-santorini-feature.jpg
"Tokyo, Japan","Famous for iconic landmarks, and its beautiful nature and historical architecture rich with history and culture!",35.68897,139.77092,https://www.britannica.com/place/Tokyo,https://www.holidaywithus.co.uk/holidaywu/wp-content/uploads/2019/09/jezael-melgoza-layMbSJ3YOE-unsplash-1024x664.jpg
